,type,fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
47,0,6.2,0.46,0.25,4.4,62.0,207.0,0.9939,3.25,0.52,9.8,0
48,0,7.0,0.31,0.26,7.4,28.0,160.0,0.9954,3.13,0.46,9.8,1
49,0,6.9,0.19,0.35,5.0,32.0,150.0,0.995,3.36,0.48,9.8,0
50,0,7.2,0.19,0.31,1.6,31.0,173.0,0.9917,3.35,0.44,11.7,1
51,0,6.6,0.25,0.29,1.1,39.0,124.0,0.9914,3.34,0.58,11.0,2
52,0,6.2,0.16,0.33,1.1,21.0,82.0,0.991,3.32,0.46,10.9,2
53,0,6.4,0.18,0.35,1.0,39.0,108.0,0.9911,3.31,0.35,10.9,1
54,0,6.8,0.2,0.59,0.9,38.0,132.0,0.993,3.21,0.38,9.1,1
55,0,6.9,0.25,0.35,1.3,29.0,191.0,0.9908,3.13,0.52,11.0,1
56,0,7.2,0.21,0.34,11.9,37.0,213.0,0.9962,3.09,0.5,9.6,1
57,0,6.0,0.19,0.26,12.4,50.0,147.0,0.9972,3.3,0.36,8.9,1
58,0,6.6,0.38,0.15,4.6,25.0,78.0,0.9931,3.11,0.38,10.2,1
59,0,7.4,0.2,0.36,1.2,44.0,111.0,0.9926,3.36,0.34,9.9,1
60,0,6.8,0.22,0.24,4.9,30.0,123.0,0.9951,3.03,0.46,8.6,1
61,0,6.0,0.19,0.26,12.4,50.0,147.0,0.9972,3.3,0.36,8.9,1
62,0,7.0,0.47,0.07,1.1,17.0,151.0,0.991,3.02,0.34,10.5,0
63,0,6.6,0.38,0.15,4.6,25.0,78.0,0.9931,3.11,0.38,10.2,1
64,0,7.2,0.24,0.27,1.4,31.0,122.0,0.9927,3.15,0.46,10.3,1
65,0,6.2,0.35,0.03,1.2,29.0,120.0,0.9934,3.22,0.54,9.1,0
66,0,6.4,0.26,0.24,6.4,27.0,124.0,0.9903,3.22,0.49,12.6,2
67,0,6.7,0.25,0.13,1.2,81.0,174.0,0.992,3.14,0.42,9.8,0
68,0,6.7,0.23,0.31,2.1,30.0,96.0,0.9926,3.33,0.64,10.7,2
69,0,7.4,0.24,0.29,10.1,21.0,105.0,0.9962,3.13,0.35,9.5,0
70,0,6.2,0.27,0.43,7.8,48.0,244.0,0.9956,3.1,0.51,9.0,1
71,0,6.8,0.3,0.23,4.6,50.5,238.5,0.9958,3.32,0.6,9.5,0
72,0,6.0,0.27,0.28,4.8,31.0,201.0,0.9964,3.69,0.71,10.0,0
73,0,8.6,0.23,0.46,1.0,9.0,72.0,0.9941,2.95,0.49,9.1,1
74,0,6.7,0.23,0.31,2.1,30.0,96.0,0.9926,3.33,0.64,10.7,2
75,0,7.4,0.24,0.29,10.1,21.0,105.0,0.9962,3.13,0.35,9.5,0
76,0,7.1,0.18,0.36,1.4,31.0,87.0,0.9898,3.26,0.37,12.7,2
77,0,7.0,0.32,0.34,1.3,20.0,69.0,0.9912,3.31,0.65,12.0,2
78,0,7.4,0.18,0.3,8.8,26.0,103.0,0.9961,2.94,0.56,9.3,0
79,0,6.7,0.54,0.28,5.4,21.0,105.0,0.9949,3.27,0.37,9.0,0
80,0,6.8,0.22,0.31,1.4,34.0,114.0,0.9929,3.39,0.77,10.6,1
81,0,7.1,0.2,0.34,16.0,51.0,166.0,0.9985,3.21,0.6,9.2,1
82,0,7.1,0.34,0.2,6.1,47.0,164.0,0.9946,3.17,0.42,10.0,0
83,0,7.3,0.22,0.3,8.2,42.0,207.0,0.9966,3.33,0.46,9.5,1
84,0,7.1,0.43,0.61,11.8,54.0,155.0,0.9974,3.11,0.45,8.7,0
85,0,7.1,0.44,0.62,11.8,52.0,152.0,0.9975,3.12,0.46,8.7,1
86,0,7.2,0.29,0.63,11.0,55.0,156.0,0.9974,3.09,0.44,8.7,1
87,0,6.8,0.25,0.31,13.3,69.0,202.0,0.9972,3.22,0.48,9.7,1
88,0,7.1,0.43,0.61,11.8,54.0,155.0,0.9974,3.11,0.45,8.7,0
89,0,7.1,0.44,0.62,11.8,52.0,152.0,0.9975,3.12,0.46,8.7,1
90,0,7.2,0.39,0.63,11.0,55.0,156.0,0.9974,3.09,0.44,8.7,1
91,0,6.1,0.27,0.43,7.5,65.0,243.0,0.9957,3.12,0.47,9.0,0
92,0,6.9,0.24,0.33,1.7,47.0,136.0,0.99,3.26,0.4,12.6,2
93,0,6.9,0.21,0.33,1.8,48.0,136.0,0.9899,3.25,0.41,12.6,2
94,0,7.5,0.17,0.32,1.7,51.0,148.0,0.9916,3.21,0.44,11.5,2
95,0,7.1,0.26,0.29,12.4,62.0,240.0,0.9969,3.04,0.42,9.2,1
96,0,6.0,0.34,0.66,15.9,26.0,164.0,0.9979,3.14,0.5,8.8,1
97,0,8.6,0.265,0.36,1.2,15.0,80.0,0.9913,2.95,0.36,11.4,2
98,0,9.8,0.36,0.46,10.5,4.0,83.0,0.9956,2.89,0.3,10.1,0
99,0,6.0,0.34,0.66,15.9,26.0,164.0,0.9979,3.14,0.5,8.8,1
100,0,7.4,0.25,0.37,13.5,52.0,192.0,0.9975,3.0,0.44,9.1,0
101,0,7.1,0.12,0.32,9.6,64.0,162.0,0.9962,3.4,0.41,9.4,0
102,0,6.0,0.21,0.24,12.1,55.0,164.0,0.997,3.34,0.39,9.4,0
103,0,7.5,0.305,0.4,18.9,44.0,170.0,1.0,2.99,0.46,9.0,0
104,0,7.4,0.25,0.37,13.5,52.0,192.0,0.9975,3.0,0.44,9.1,0
105,0,7.3,0.13,0.32,14.4,34.0,109.0,0.9974,3.2,0.35,9.2,1
106,0,7.1,0.12,0.32,9.6,64.0,162.0,0.9962,3.4,0.41,9.4,0
107,0,7.1,0.23,0.35,16.5,60.0,171.0,0.999,3.16,0.59,9.1,1
108,0,7.1,0.23,0.35,16.5,60.0,171.0,0.999,3.16,0.59,9.1,1
109,0,6.9,0.33,0.28,1.3,37.0,187.0,0.9927,3.27,0.6,10.3,0
110,0,6.5,0.17,0.54,8.5,64.0,163.0,0.9959,2.89,0.39,8.8,1
111,0,7.2,0.27,0.46,18.75,45.0,255.0,1.0,3.04,0.52,8.9,0
112,0,7.2,0.31,0.5,13.3,68.0,195.0,0.9982,3.01,0.47,9.2,0
113,0,6.7,0.41,0.34,9.2,29.0,150.0,0.9968,3.22,0.51,9.1,0
114,0,6.7,0.41,0.34,9.2,29.0,150.0,0.9968,3.22,0.51,9.1,0
115,0,5.5,0.485,0.0,1.5,8.0,103.0,0.994,3.63,0.4,9.7,0
116,0,6.0,0.31,0.24,3.3,25.0,143.0,0.9914,3.31,0.44,11.3,1
117,0,7.0,0.14,0.4,1.7,16.0,85.0,0.9911,3.19,0.42,11.8,1
118,0,7.2,0.31,0.5,13.3,68.0,195.0,0.9982,3.01,0.47,9.2,0
119,0,7.3,0.32,0.48,13.3,57.0,196.0,0.9982,3.04,0.5,9.2,0
120,0,5.9,0.36,0.04,5.7,21.0,87.0,0.9934,3.22,0.51,10.2,0
121,0,7.8,0.24,0.32,12.2,42.0,138.0,0.9984,3.01,0.54,8.8,0
122,0,7.4,0.16,0.31,6.85,31.0,131.0,0.9952,3.29,0.34,9.7,0
123,0,6.9,0.19,0.28,5.0,14.0,146.0,0.9952,3.29,0.36,9.1,1
124,0,6.4,0.13,0.47,1.6,40.0,158.0,0.9928,3.21,0.36,9.8,1
125,0,6.7,0.19,0.36,1.1,63.0,143.0,0.9912,3.27,0.48,11.0,1
126,0,7.4,0.39,0.23,7.0,29.0,126.0,0.994,3.14,0.42,10.5,0
127,0,6.5,0.24,0.32,7.6,48.0,203.0,0.9958,3.45,0.54,9.7,2
128,0,6.1,0.3,0.56,2.8,47.0,179.0,0.9924,3.3,0.57,10.9,2
129,0,6.1,0.3,0.56,2.7,46.0,184.0,0.9924,3.31,0.57,10.9,1
130,0,5.7,0.26,0.25,10.4,7.0,57.0,0.994,3.39,0.37,10.6,0
131,0,6.5,0.24,0.32,7.6,48.0,203.0,0.9958,3.45,0.54,9.7,2
132,0,6.5,0.425,0.4,13.1,59.0,241.0,0.9979,3.23,0.57,9.0,0
133,0,6.6,0.24,0.27,15.8,46.0,188.0,0.9982,3.24,0.51,9.2,0
134,0,6.8,0.27,0.22,8.1,55.0,203.0,0.9961,3.19,0.52,8.9,0
135,0,6.7,0.27,0.31,15.7,44.0,179.0,0.9979,3.26,0.56,9.6,0
136,0,8.2,0.23,0.4,1.2,36.0,121.0,0.992,3.12,0.38,10.7,1
137,0,7.1,0.37,0.67,10.5,49.0,155.0,0.9975,3.16,0.44,8.7,0
138,0,6.8,0.19,0.36,1.9,30.0,96.0,0.9917,3.15,0.54,10.8,2
139,0,8.1,0.28,0.39,1.9,18.0,79.0,0.9923,3.21,0.52,11.8,1
140,0,6.3,0.31,0.34,2.2,20.0,77.0,0.9927,3.3,0.43,10.2,0
141,0,7.1,0.37,0.67,10.5,49.0,155.0,0.9975,3.16,0.44,8.7,0
142,0,7.9,0.21,0.4,1.2,38.0,107.0,0.992,3.21,0.54,10.8,1
143,0,8.5,0.21,0.41,4.3,24.0,99.0,0.9947,3.18,0.53,9.7,1
144,0,8.1,0.2,0.4,2.0,19.0,87.0,0.9921,3.12,0.54,11.2,1
145,0,6.3,0.255,0.37,1.1,37.0,114.0,0.9905,3.0,0.39,10.9,1
146,0,5.6,0.16,0.27,1.4,53.0,168.0,0.9918,3.28,0.37,10.1,1
147,0,6.4,0.595,0.14,5.2,15.0,97.0,0.9951,3.38,0.36,9.0,0
148,0,6.3,0.34,0.33,4.6,19.0,80.0,0.9917,3.38,0.58,12.0,2
149,0,6.9,0.25,0.3,4.1,23.0,116.0,0.994,2.99,0.38,9.4,1
150,0,7.9,0.22,0.38,8.0,46.0,152.0,0.9934,3.12,0.32,11.5,2
151,0,7.6,0.18,0.46,10.2,58.0,135.0,0.9968,3.14,0.43,9.9,1
152,0,6.9,0.25,0.3,4.1,23.0,116.0,0.994,2.99,0.38,9.4,1
153,0,7.2,0.18,0.41,1.2,41.0,97.0,0.9919,3.14,0.45,10.4,0
154,0,8.2,0.23,0.4,7.5,12.0,76.0,0.9966,3.06,0.84,9.7,1
155,0,7.4,0.24,0.42,14.0,48.0,198.0,0.9979,2.89,0.42,8.9,1
156,0,7.4,0.24,0.42,14.0,48.0,198.0,0.9979,2.89,0.42,8.9,1
157,0,6.1,0.32,0.24,1.5,38.0,124.0,0.9898,3.29,0.42,12.4,2
158,0,5.2,0.44,0.04,1.4,43.0,119.0,0.9894,3.36,0.33,12.1,2
159,0,5.2,0.44,0.04,1.4,43.0,119.0,0.9894,3.36,0.33,12.1,2
160,0,6.1,0.32,0.24,1.5,38.0,124.0,0.9898,3.29,0.42,12.4,2
161,0,6.4,0.22,0.56,14.5,27.0,159.0,0.998,2.98,0.4,9.1,0
162,0,6.3,0.36,0.3,4.8,14.0,85.0,0.9932,3.28,0.39,10.6,0
163,0,7.4,0.24,0.42,14.0,48.0,198.0,0.9979,2.89,0.42,8.9,1
164,0,6.7,0.24,0.35,13.1,64.0,205.0,0.997,3.15,0.5,9.5,0
165,0,7.0,0.23,0.36,13.0,72.0,177.0,0.9972,3.16,0.49,9.8,0
166,0,8.4,0.27,0.46,8.7,39.0,197.0,0.9974,3.14,0.59,9.6,1
167,0,6.7,0.46,0.18,2.4,25.0,98.0,0.9896,3.08,0.44,12.6,2
168,0,7.5,0.29,0.31,8.95,20.0,151.0,0.9968,3.08,0.54,9.3,0
169,0,9.8,0.42,0.48,9.85,5.0,110.0,0.9958,2.87,0.29,10.0,0
170,0,7.1,0.3,0.46,1.5,29.0,133.0,0.9906,3.12,0.54,12.7,1
171,0,7.9,0.19,0.45,1.5,17.0,96.0,0.9917,3.13,0.39,11.0,1
172,0,7.6,0.48,0.37,0.8,4.0,100.0,0.9902,3.03,0.39,11.4,0
173,0,6.3,0.22,0.43,4.55,31.0,130.0,0.9918,3.35,0.33,11.5,2
174,0,7.0,0.27,0.31,17.7,33.0,173.0,0.999,3.09,0.64,10.2,0
175,0,6.9,0.23,0.4,7.5,50.0,151.0,0.9927,3.11,0.27,11.4,1
176,0,7.2,0.32,0.47,5.1,19.0,65.0,0.991,3.03,0.41,12.6,0
177,0,5.9,0.23,0.3,12.9,57.0,170.0,0.9972,3.28,0.39,9.4,0
178,0,6.0,0.67,0.07,1.2,9.0,108.0,0.9931,3.11,0.35,8.7,0
179,0,6.4,0.25,0.32,5.5,41.0,176.0,0.995,3.19,0.68,9.2,1
180,0,6.4,0.33,0.31,5.5,42.0,173.0,0.9951,3.19,0.66,9.3,1
181,0,7.1,0.34,0.15,1.2,61.0,183.0,0.9936,3.09,0.43,9.2,0
182,0,6.8,0.28,0.4,22.0,48.0,167.0,1.001,2.93,0.5,8.7,0
183,0,6.9,0.27,0.4,14.0,64.0,227.0,0.9979,3.18,0.58,9.6,1
184,0,6.8,0.26,0.56,11.9,64.0,226.0,0.997,3.02,0.63,9.3,0
185,0,6.8,0.29,0.56,11.9,66.0,230.0,0.9972,3.02,0.63,9.3,0
186,0,6.7,0.24,0.41,9.4,49.0,166.0,0.9954,3.12,0.61,9.9,1
187,0,5.9,0.3,0.23,4.2,42.0,119.0,0.9924,3.15,0.5,11.0,0
188,0,6.8,0.53,0.35,3.8,26.0,109.0,0.9906,3.26,0.57,12.7,2
189,0,6.5,0.28,0.28,8.5,54.0,210.0,0.9962,3.09,0.54,8.9,0
190,0,6.6,0.28,0.28,8.5,55.0,211.0,0.9962,3.09,0.55,8.9,1
191,0,6.8,0.28,0.4,22.0,48.0,167.0,1.001,2.93,0.5,8.7,0
192,0,6.8,0.28,0.36,8.0,28.0,123.0,0.9928,3.02,0.37,11.4,1
193,0,6.6,0.15,0.34,5.1,34.0,125.0,0.9942,3.36,0.42,9.6,0
194,0,6.4,0.29,0.44,3.6,75.0,181.0,0.9942,3.02,0.41,9.1,0
195,0,6.4,0.3,0.45,3.5,76.0,180.0,0.9942,3.02,0.39,9.1,1
196,0,6.4,0.29,0.44,3.6,75.0,183.0,0.9942,3.01,0.38,9.1,0
197,0,6.8,0.26,0.24,7.8,54.0,214.0,0.9961,3.13,0.47,8.9,0
198,0,7.1,0.32,0.24,13.1,52.0,204.0,0.998,3.1,0.49,8.8,0
199,0,6.8,0.26,0.24,7.8,54.0,214.0,0.9961,3.13,0.47,8.9,0
200,0,6.8,0.27,0.26,16.1,55.0,196.0,0.9984,3.15,0.5,9.3,0
201,0,7.1,0.32,0.24,13.1,52.0,204.0,0.998,3.1,0.49,8.8,0
202,0,6.9,0.54,0.32,13.2,53.0,236.0,0.9973,3.2,0.5,9.6,0
203,0,6.8,0.26,0.34,13.9,39.0,134.0,0.9949,3.33,0.53,12.0,1
204,0,5.8,0.28,0.35,2.3,36.0,114.0,0.9924,3.28,0.5,10.2,0
205,0,6.4,0.21,0.5,11.6,45.0,153.0,0.9972,3.15,0.43,8.8,0
206,0,7.0,0.16,0.32,8.3,38.0,126.0,0.9958,3.21,0.34,9.2,0
207,0,10.2,0.44,0.88,6.2,20.0,124.0,0.9968,2.99,0.51,9.9,0
208,0,6.8,0.57,0.29,2.2,15.0,77.0,0.9938,3.32,0.74,10.2,0
209,0,6.1,0.4,0.31,0.9,23.0,170.0,0.993,3.22,0.77,9.5,1
210,0,5.6,0.245,0.25,9.7,12.0,68.0,0.994,3.31,0.34,10.5,0
211,0,6.8,0.18,0.38,1.4,35.0,111.0,0.9918,3.32,0.59,11.2,2
212,0,7.0,0.16,0.32,8.3,38.0,126.0,0.9958,3.21,0.34,9.2,0
213,0,6.7,0.13,0.29,5.3,31.0,122.0,0.9944,3.44,0.37,9.7,1
214,0,6.2,0.25,0.25,1.4,35.0,105.0,0.9912,3.3,0.44,11.1,2
215,0,5.8,0.26,0.24,9.2,55.0,152.0,0.9961,3.31,0.38,9.4,0
216,0,7.5,0.27,0.36,7.0,45.0,164.0,0.9939,3.03,0.33,11.0,0
217,0,5.8,0.26,0.24,9.2,55.0,152.0,0.9961,3.31,0.38,9.4,0
218,0,5.7,0.28,0.24,17.5,60.0,167.0,0.9989,3.31,0.44,9.4,0
219,0,7.5,0.23,0.36,7.0,43.0,161.0,0.9938,3.04,0.32,11.0,0
220,0,7.5,0.27,0.36,7.0,45.0,164.0,0.9939,3.03,0.33,11.0,0
221,0,7.2,0.685,0.21,9.5,33.0,172.0,0.9971,3.0,0.55,9.1,1
222,0,6.2,0.25,0.25,1.4,35.0,105.0,0.9912,3.3,0.44,11.1,2
223,0,6.5,0.19,0.3,0.8,33.0,144.0,0.9936,3.42,0.39,9.1,1
224,0,6.3,0.495,0.22,1.8,31.0,140.0,0.9929,3.39,0.51,10.4,1
225,0,7.1,0.24,0.41,17.8,39.0,145.0,0.9998,3.32,0.39,8.7,0
226,0,6.4,0.17,0.32,2.4,41.0,200.0,0.9938,3.5,0.5,9.7,1
227,0,7.1,0.25,0.32,10.3,66.0,272.0,0.9969,3.17,0.52,9.1,1
228,0,6.4,0.17,0.32,2.4,41.0,200.0,0.9938,3.5,0.5,9.7,1
229,0,7.1,0.24,0.41,17.8,39.0,145.0,0.9998,3.32,0.39,8.7,0
230,0,6.8,0.64,0.08,9.7,26.0,142.0,0.9972,3.37,0.46,8.9,0
231,0,8.3,0.28,0.4,7.8,38.0,194.0,0.9976,3.34,0.51,9.6,1
232,0,8.2,0.27,0.39,7.8,49.0,208.0,0.9976,3.31,0.51,9.5,1
233,0,7.2,0.23,0.38,14.3,55.0,194.0,0.9979,3.09,0.44,9.0,1
234,0,7.2,0.23,0.38,14.3,55.0,194.0,0.9979,3.09,0.44,9.0,1
235,0,7.2,0.23,0.38,14.3,55.0,194.0,0.9979,3.09,0.44,9.0,1
236,0,7.2,0.23,0.38,14.3,55.0,194.0,0.9979,3.09,0.44,9.0,1
237,0,6.8,0.52,0.32,13.2,54.0,221.0,0.9972,3.27,0.5,9.6,1
238,0,7.0,0.26,0.59,1.4,40.0,120.0,0.9918,3.34,0.41,11.1,2
239,0,6.2,0.25,0.21,15.55,28.0,159.0,0.9982,3.48,0.64,9.6,1
240,0,7.3,0.32,0.23,13.7,49.0,197.0,0.9985,3.2,0.46,8.7,0
241,0,7.7,0.31,0.26,7.8,23.0,90.0,0.9944,3.13,0.5,10.4,0
242,0,7.1,0.21,0.37,2.4,23.0,100.0,0.9903,3.15,0.38,11.4,2
243,0,6.8,0.24,0.34,2.7,64.5,218.5,0.9934,3.3,0.58,9.7,1
244,0,6.9,0.4,0.56,11.2,40.0,142.0,0.9975,3.14,0.46,8.7,0
245,0,6.1,0.18,0.36,2.0,20.0,249.5,0.9923,3.37,0.79,11.3,1
246,0,6.8,0.21,0.27,2.1,26.0,139.0,0.99,3.16,0.61,12.6,2
247,0,5.8,0.2,0.27,1.4,12.0,77.0,0.9905,3.25,0.36,10.9,2
248,0,5.6,0.19,0.26,1.4,12.0,76.0,0.9905,3.25,0.37,10.9,2
249,0,7.0,0.41,0.14,10.4,18.0,119.0,0.996,3.38,0.45,10.0,0
250,0,5.9,0.21,0.28,4.6,40.0,199.0,0.9964,3.72,0.7,10.0,0
251,0,8.5,0.26,0.21,16.2,41.0,197.0,0.998,3.02,0.5,9.8,0
252,0,6.9,0.4,0.56,11.2,40.0,142.0,0.9975,3.14,0.46,8.7,0
253,0,5.8,0.24,0.44,3.5,5.0,109.0,0.9913,3.53,0.43,11.7,0
254,0,5.8,0.24,0.39,1.5,37.0,158.0,0.9932,3.21,0.52,9.3,1
255,0,6.7,0.26,0.39,1.1,45.0,147.0,0.9935,3.32,0.58,9.6,2
256,0,6.3,0.35,0.3,5.7,8.0,97.0,0.9927,3.27,0.41,11.0,2
257,0,6.3,0.35,0.3,5.7,8.0,97.0,0.9927,3.27,0.41,11.0,2
258,0,6.4,0.23,0.39,1.8,23.0,118.0,0.9912,3.32,0.5,11.8,1
259,0,5.8,0.36,0.38,0.9,3.0,75.0,0.9904,3.28,0.34,11.4,0
260,0,6.9,0.115,0.35,5.4,36.0,108.0,0.9939,3.32,0.42,10.2,1
261,0,6.9,0.29,0.4,19.45,36.0,156.0,0.9996,2.93,0.47,8.9,0
262,0,6.9,0.28,0.4,8.2,15.0,95.0,0.9944,3.17,0.33,10.2,0
263,0,7.2,0.29,0.4,13.6,66.0,231.0,0.9977,3.08,0.59,9.6,1
264,0,6.2,0.24,0.35,1.2,22.0,167.0,0.9912,3.1,0.48,10.6,1
265,0,6.9,0.29,0.4,19.45,36.0,156.0,0.9996,2.93,0.47,8.9,0
266,0,6.9,0.32,0.26,8.3,32.0,180.0,0.9965,3.25,0.51,9.2,1
267,0,7.0,0.58,0.07,6.9,34.0,149.0,0.9944,3.34,0.57,9.7,0
268,0,5.3,0.585,0.31,7.1,34.0,145.0,0.9945,3.34,0.57,9.7,1
269,0,5.4,0.59,0.07,7.0,36.0,147.0,0.9944,3.34,0.57,9.7,1
270,0,6.9,0.32,0.26,8.3,32.0,180.0,0.9965,3.25,0.51,9.2,1
271,0,5.2,0.6,0.07,7.0,33.0,147.0,0.9944,3.33,0.58,9.7,0
272,0,5.8,0.25,0.26,13.1,44.0,148.0,0.9972,3.29,0.38,9.3,0
273,0,6.6,0.58,0.3,5.1,30.0,123.0,0.9949,3.24,0.38,9.0,0
274,0,7.0,0.29,0.54,10.7,59.0,234.0,0.9966,3.05,0.61,9.5,0
275,0,6.6,0.19,0.41,8.9,51.0,169.0,0.9954,3.14,0.57,9.8,1
276,0,6.7,0.2,0.41,9.1,50.0,166.0,0.9954,3.14,0.58,9.8,1
277,0,7.7,0.26,0.4,1.1,9.0,60.0,0.9915,2.89,0.5,10.6,0
278,0,6.8,0.32,0.34,1.2,14.0,67.0,0.9919,3.05,0.47,10.6,0
279,0,7.0,0.3,0.49,4.7,17.0,105.0,0.9916,3.26,0.68,12.4,2
280,0,7.0,0.24,0.36,2.8,22.0,112.0,0.99,3.19,0.38,12.6,2
281,0,6.1,0.31,0.58,5.0,36.0,114.0,0.9909,3.3,0.6,12.3,2
282,0,6.8,0.44,0.37,5.1,46.0,201.0,0.9938,3.08,0.65,10.5,0
283,0,6.7,0.34,0.3,15.6,51.0,196.0,0.9982,3.19,0.49,9.3,0
284,0,7.1,0.35,0.24,15.4,46.0,198.0,0.9988,3.12,0.49,8.8,0
285,0,7.3,0.32,0.25,7.2,47.0,180.0,0.9961,3.08,0.47,8.8,0
286,0,6.5,0.28,0.33,15.7,51.0,190.0,0.9978,3.22,0.51,9.7,1
287,0,7.2,0.23,0.39,14.2,49.0,192.0,0.9979,2.98,0.48,9.0,2
288,0,7.2,0.23,0.39,14.2,49.0,192.0,0.9979,2.98,0.48,9.0,2
289,0,7.2,0.23,0.39,14.2,49.0,192.0,0.9979,2.98,0.48,9.0,2
290,0,7.2,0.23,0.39,14.2,49.0,192.0,0.9979,2.98,0.48,9.0,2
291,0,5.9,0.15,0.31,5.8,53.0,155.0,0.9945,3.52,0.46,10.5,1
292,0,7.4,0.28,0.42,19.8,53.0,195.0,1.0,2.96,0.44,9.1,0
293,0,6.2,0.28,0.22,7.3,26.0,157.0,0.9957,3.44,0.64,9.8,2
294,0,9.1,0.59,0.38,1.6,34.0,182.0,0.9968,3.23,0.38,8.5,0
295,0,6.3,0.33,0.27,1.2,34.0,175.0,0.9934,3.37,0.54,9.4,1
